city,latitude,longitude,date,temp_max,temp_min,precipitation,precip_probability,wind_speed,wind_gusts,weather_code,temperature_category,precipitation_category,wind_category,score,danger
Casablanca,33.5625,-7.625,2026-09-14,32.0,23.6,0.0,0,10.3,29.5,2,Chaud,Aucune,Modéré,10.52,Faible
Casablanca,33.5625,-7.625,2026-09-15,28.3,21.8,0.0,0,11.6,32.8,45,Modéré,Aucune,Modéré,10.3,Faible
Casablanca,33.5625,-7.625,2026-09-16,25.6,20.9,0.0,0,14.6,38.2,2,Modéré,Aucune,Modéré,10.96,Faible
Casablanca,33.5625,-7.625,2026-09-17,25.6,19.7,0.0,0,12.5,34.2,3,Modéré,Aucune,Modéré,10.120000000000001,Faible
Casablanca,33.5625,-7.625,2026-09-18,25.4,18.2,0.0,0,14.8,38.5,2,Modéré,Aucune,Modéré,11.0,Faible
Casablanca,33.5625,-7.625,2026-09-19,28.6,19.8,0.0,0,13.1,34.9,45,Modéré,Aucune,Modéré,10.96,Faible
Casablanca,33.5625,-7.625,2026-09-20,31.7,21.1,0.0,0,13.3,35.3,45,Chaud,Aucune,Modéré,11.66,Faible
Tangier,35.75,-5.8125,2026-09-14,29.7,22.5,0.0,0,25.4,60.1,1,Modéré,Aucune,Modéré,16.1,Faible
Tangier,35.75,-5.8125,2026-09-15,30.4,21.1,0.0,0,16.9,38.5,1,Chaud,Aucune,Modéré,12.84,Faible
Tangier,35.75,-5.8125,2026-09-16,26.9,18.2,0.0,0,21.3,48.6,3,Modéré,Aucune,Modéré,13.900000000000002,Faible
Tangier,35.75,-5.8125,2026-09-17,26.2,18.8,0.0,0,15.0,34.9,3,Modéré,Aucune,Modéré,11.24,Faible
Tangier,35.75,-5.8125,2026-09-18,28.2,18.7,0.0,0,21.4,49.3,3,Modéré,Aucune,Modéré,14.200000000000001,Faible
Tangier,35.75,-5.8125,2026-09-19,27.3,21.7,0.0,0,34.2,64.8,3,Modéré,Aucune,Fort,19.14,Faible
Tangier,35.75,-5.8125,2026-09-20,26.9,22.9,0.0,3,35.1,65.5,3,Modéré,Aucune,Fort,19.42,Faible
Fès,34.0625,-5.0,2026-09-14,38.3,23.5,0.0,0,11.0,29.5,2,Chaud,Aucune,Modéré,12.06,Faible
Fès,34.0625,-5.0,2026-09-15,35.1,23.7,0.0,0,15.5,38.9,3,Chaud,Aucune,Modéré,13.22,Faible
Fès,34.0625,-5.0,2026-09-16,31.3,20.5,0.0,0,16.8,40.3,1,Chaud,Aucune,Modéré,12.98,Faible
Fès,34.0625,-5.0,2026-09-17,27.7,18.7,0.0,8,12.2,33.5,3,Modéré,Aucune,Modéré,10.42,Faible
Fès,34.0625,-5.0,2026-09-18,32.0,18.0,0.0,13,9.7,27.0,3,Chaud,Aucune,Faible,10.280000000000001,Faible
Fès,34.0625,-5.0,2026-09-19,37.4,21.2,0.0,5,9.8,26.7,3,Chaud,Aucune,Faible,11.4,Faible
Fès,34.0625,-5.0,2026-09-20,38.9,23.5,0.0,5,17.2,41.0,2,Chaud,Aucune,Modéré,14.66,Faible
Marrakech,31.625,-8.0,2026-09-14,40.0,23.2,0.0,8,12.1,40.0,3,Très chaud,Aucune,Modéré,12.84,Faible
Marrakech,31.625,-8.0,2026-09-15,37.8,24.2,0.0,3,14.8,38.9,3,Chaud,Aucune,Modéré,13.48,Faible
Marrakech,31.625,-8.0,2026-09-16,34.6,20.3,0.0,0,13.3,35.6,0,Chaud,Aucune,Modéré,12.240000000000002,Faible
Marrakech,31.625,-8.0,2026-09-17,30.3,18.3,0.0,3,8.8,26.3,1,Chaud,Aucune,Faible,9.580000000000002,Faible
Marrakech,31.625,-8.0,2026-09-18,31.7,18.2,0.0,20,7.9,25.2,1,Chaud,Aucune,Faible,9.5,Faible
Marrakech,31.625,-8.0,2026-09-19,35.7,19.6,0.3,17,12.9,23.0,3,Chaud,Faible,Modéré,12.420000000000002,Faible
Marrakech,31.625,-8.0,2026-09-20,37.9,20.3,0.0,18,11.3,23.0,2,Chaud,Aucune,Modéré,12.100000000000001,Faible
Sale,34.0,-6.8125,2026-09-14,33.6,23.5,0.0,0,11.1,29.5,0,Chaud,Aucune,Modéré,11.16,Faible
Sale,34.0,-6.8125,2026-09-15,27.7,21.4,0.0,0,12.8,33.8,45,Modéré,Aucune,Modéré,10.66,Faible
Sale,34.0,-6.8125,2026-09-16,25.8,20.8,0.0,0,15.5,39.2,2,Modéré,Aucune,Modéré,11.36,Faible
Sale,34.0,-6.8125,2026-09-17,25.9,18.8,0.0,0,12.0,32.0,3,Modéré,Aucune,Modéré,9.98,Faible
Sale,34.0,-6.8125,2026-09-18,26.2,17.4,0.0,0,15.3,38.2,2,Modéré,Aucune,Modéré,11.360000000000001,Faible
Sale,34.0,-6.8125,2026-09-19,27.4,17.6,0.0,3,12.3,30.6,45,Modéré,Aucune,Modéré,10.400000000000002,Faible
Sale,34.0,-6.8125,2026-09-20,30.8,21.3,0.0,3,13.7,30.2,1,Chaud,Aucune,Modéré,11.64,Faible
Meknès,33.875,-5.5625,2026-09-14,37.6,23.1,0.0,0,16.6,41.8,2,Chaud,Aucune,Modéré,14.16,Faible
Meknès,33.875,-5.5625,2026-09-15,34.2,21.1,0.0,0,16.1,41.0,3,Chaud,Aucune,Modéré,13.280000000000001,Faible
Meknès,33.875,-5.5625,2026-09-16,30.3,18.9,0.0,0,16.8,42.1,1,Chaud,Aucune,Modéré,12.780000000000001,Faible
Meknès,33.875,-5.5625,2026-09-17,26.3,17.4,0.0,5,12.8,33.8,3,Modéré,Aucune,Modéré,10.380000000000003,Faible
Meknès,33.875,-5.5625,2026-09-18,30.2,15.6,0.0,8,11.9,31.3,2,Chaud,Aucune,Modéré,10.8,Faible
Meknès,33.875,-5.5625,2026-09-19,34.9,19.0,0.6,5,7.8,28.1,80,Chaud,Faible,Faible,10.34,Faible
Meknès,33.875,-5.5625,2026-09-20,37.3,22.0,0.0,5,15.5,36.4,2,Chaud,Aucune,Modéré,13.66,Faible
Rabat,34.0,-6.8125,2026-09-14,33.6,23.6,0.0,0,11.1,29.5,0,Chaud,Aucune,Modéré,11.16,Faible
Rabat,34.0,-6.8125,2026-09-15,27.7,21.4,0.0,0,12.8,33.8,45,Modéré,Aucune,Modéré,10.66,Faible
Rabat,34.0,-6.8125,2026-09-16,25.8,20.9,0.0,0,15.5,39.2,2,Modéré,Aucune,Modéré,11.36,Faible
Rabat,34.0,-6.8125,2026-09-17,26.0,18.9,0.0,0,12.0,32.0,3,Modéré,Aucune,Modéré,10.0,Faible
Rabat,34.0,-6.8125,2026-09-18,26.2,17.5,0.0,0,15.3,38.2,2,Modéré,Aucune,Modéré,11.360000000000001,Faible
Rabat,34.0,-6.8125,2026-09-19,27.4,17.6,0.0,3,12.3,30.6,45,Modéré,Aucune,Modéré,10.400000000000002,Faible
Rabat,34.0,-6.8125,2026-09-20,30.9,21.4,0.0,3,13.7,30.2,1,Chaud,Aucune,Modéré,11.66,Faible
Agadir,30.4375,-9.5625,2026-09-14,38.9,28.6,0.0,8,17.5,42.8,3,Chaud,Aucune,Modéré,14.780000000000001,Faible
Agadir,30.4375,-9.5625,2026-09-15,34.6,26.5,0.0,3,11.2,31.0,2,Chaud,Aucune,Modéré,11.4,Faible
Agadir,30.4375,-9.5625,2026-09-16,36.5,23.8,0.0,0,16.3,47.9,0,Chaud,Aucune,Modéré,13.82,Faible
Agadir,30.4375,-9.5625,2026-09-17,28.0,20.3,0.0,0,13.8,36.0,2,Modéré,Aucune,Modéré,11.120000000000001,Faible
Agadir,30.4375,-9.5625,2026-09-18,26.3,19.7,0.0,3,13.5,36.7,2,Modéré,Aucune,Modéré,10.66,Faible
Agadir,30.4375,-9.5625,2026-09-19,37.7,20.2,0.0,3,16.3,40.0,3,Chaud,Aucune,Modéré,14.060000000000002,Faible
Agadir,30.4375,-9.5625,2026-09-20,40.1,25.2,0.0,0,16.9,38.5,1,Très chaud,Aucune,Modéré,14.780000000000001,Faible
Kenitra,34.25,-6.5625,2026-09-14,35.1,22.7,0.0,0,12.2,31.0,0,Chaud,Aucune,Modéré,11.9,Faible
Kenitra,34.25,-6.5625,2026-09-15,28.8,21.0,0.0,0,14.0,34.2,45,Modéré,Aucune,Modéré,11.360000000000001,Faible
Kenitra,34.25,-6.5625,2026-09-16,26.5,20.7,0.0,0,16.5,40.0,2,Modéré,Aucune,Modéré,11.900000000000002,Faible
Kenitra,34.25,-6.5625,2026-09-17,26.5,18.3,0.0,0,12.3,33.1,3,Modéré,Aucune,Modéré,10.220000000000002,Faible
Kenitra,34.25,-6.5625,2026-09-18,28.2,17.2,0.0,0,15.5,38.9,45,Modéré,Aucune,Modéré,11.84,Faible
Kenitra,34.25,-6.5625,2026-09-19,29.1,17.0,0.0,3,13.7,32.4,3,Modéré,Aucune,Modéré,11.3,Faible
Kenitra,34.25,-6.5625,2026-09-20,33.7,19.9,0.0,0,16.1,36.0,0,Chaud,Aucune,Modéré,13.180000000000003,Faible
Oujda-Angad,34.6875,-1.9375,2026-09-14,30.4,17.5,0.0,0,17.0,36.0,1,Chaud,Aucune,Modéré,12.88,Faible
Oujda-Angad,34.6875,-1.9375,2026-09-15,30.6,16.4,0.0,0,17.2,36.4,3,Chaud,Aucune,Modéré,13.0,Faible
Oujda-Angad,34.6875,-1.9375,2026-09-16,32.1,14.9,0.0,0,19.2,40.3,0,Chaud,Aucune,Modéré,14.100000000000001,Faible
Oujda-Angad,34.6875,-1.9375,2026-09-17,28.0,16.8,0.0,3,16.7,40.0,3,Modéré,Aucune,Modéré,12.280000000000001,Faible
Oujda-Angad,34.6875,-1.9375,2026-09-18,27.0,16.3,0.0,40,19.3,42.1,45,Modéré,Aucune,Modéré,13.120000000000001,Faible
Oujda-Angad,34.6875,-1.9375,2026-09-19,31.5,17.4,0.0,7,18.8,33.8,45,Chaud,Aucune,Modéré,13.82,Faible
Oujda-Angad,34.6875,-1.9375,2026-09-20,31.5,19.2,0.0,8,20.9,37.4,2,Chaud,Aucune,Modéré,14.66,Faible
Tétouan,35.5625,-5.375,2026-09-14,27.0,22.1,0.0,0,18.1,46.1,2,Modéré,Aucune,Modéré,12.64,Faible
Tétouan,35.5625,-5.375,2026-09-15,28.1,20.8,0.0,0,13.2,34.9,2,Modéré,Aucune,Modéré,10.900000000000002,Faible
Tétouan,35.5625,-5.375,2026-09-16,33.7,18.3,0.0,0,25.3,58.7,1,Chaud,Aucune,Modéré,16.860000000000003,Faible
Tétouan,35.5625,-5.375,2026-09-17,27.9,17.5,0.0,0,11.3,27.4,3,Modéré,Aucune,Modéré,10.100000000000001,Faible
Tétouan,35.5625,-5.375,2026-09-18,26.4,17.2,0.0,8,20.3,46.1,3,Modéré,Aucune,Modéré,13.400000000000002,Faible
Tétouan,35.5625,-5.375,2026-09-19,27.1,21.7,0.0,3,27.8,56.5,3,Modéré,Aucune,Modéré,16.540000000000003,Faible
Tétouan,35.5625,-5.375,2026-09-20,26.7,22.9,0.0,5,26.5,62.3,3,Modéré,Aucune,Modéré,15.940000000000001,Faible
Safi,32.3125,-9.25,2026-09-14,35.3,24.7,0.0,0,19.5,36.4,3,Chaud,Aucune,Modéré,14.86,Faible
Safi,32.3125,-9.25,2026-09-15,33.5,23.0,0.0,0,25.1,43.9,2,Chaud,Aucune,Modéré,16.740000000000002,Faible
Safi,32.3125,-9.25,2026-09-16,26.7,20.4,0.0,0,28.5,50.0,2,Modéré,Aucune,Modéré,16.740000000000002,Faible
Safi,32.3125,-9.25,2026-09-17,24.7,18.8,0.0,0,19.6,34.2,2,Modéré,Aucune,Modéré,12.780000000000001,Faible
Safi,32.3125,-9.25,2026-09-18,25.8,18.3,0.0,0,23.7,43.6,2,Modéré,Aucune,Modéré,14.64,Faible
Safi,32.3125,-9.25,2026-09-19,31.2,19.1,0.0,3,18.8,34.6,3,Chaud,Aucune,Modéré,13.760000000000002,Faible
Safi,32.3125,-9.25,2026-09-20,37.2,22.5,0.0,0,20.6,38.5,1,Chaud,Aucune,Modéré,15.680000000000001,Faible
Taourirt,34.4375,-2.875,2026-09-14,31.8,19.2,0.0,0,25.2,41.0,1,Chaud,Aucune,Modéré,16.44,Faible
Taourirt,34.4375,-2.875,2026-09-15,32.1,18.9,0.0,0,23.6,38.2,3,Chaud,Aucune,Modéré,15.860000000000003,Faible
Taourirt,34.4375,-2.875,2026-09-16,34.0,18.4,0.0,0,23.4,37.4,1,Chaud,Aucune,Modéré,16.16,Faible
Taourirt,34.4375,-2.875,2026-09-17,29.9,20.0,0.0,5,26.2,46.4,3,Modéré,Aucune,Modéré,16.46,Faible
Taourirt,34.4375,-2.875,2026-09-18,29.0,18.5,0.0,20,26.8,48.6,45,Modéré,Aucune,Modéré,16.520000000000003,Faible
Taourirt,34.4375,-2.875,2026-09-19,31.7,18.7,0.0,6,17.7,30.6,3,Chaud,Aucune,Modéré,13.42,Faible
Taourirt,34.4375,-2.875,2026-09-20,31.7,19.9,0.0,5,21.8,35.3,45,Chaud,Aucune,Modéré,15.06,Faible
Temara,33.9375,-6.875,2026-09-14,33.4,23.4,0.0,0,11.0,30.2,0,Chaud,Aucune,Modéré,11.08,Faible
Temara,33.9375,-6.875,2026-09-15,27.7,21.0,0.0,0,12.9,34.9,1,Modéré,Aucune,Modéré,10.7,Faible
Temara,33.9375,-6.875,2026-09-16,25.6,20.3,0.0,0,15.9,41.0,2,Modéré,Aucune,Modéré,11.48,Faible
Temara,33.9375,-6.875,2026-09-17,25.7,18.5,0.0,0,12.4,33.1,3,Modéré,Aucune,Modéré,10.100000000000001,Faible
Temara,33.9375,-6.875,2026-09-18,26.4,16.4,0.0,0,14.8,38.9,45,Modéré,Aucune,Modéré,11.200000000000001,Faible
Temara,33.9375,-6.875,2026-09-19,25.8,17.5,0.0,3,12.6,27.0,2,Modéré,Aucune,Modéré,10.2,Faible
