city,latitude,longitude,date,temp_max,temp_min,precipitation,precip_probability,wind_speed,wind_gusts,weather_code
Casablanca,33.5625,-7.625,2026-09-14,32.0,23.6,0.0,0,10.3,29.5,2
Casablanca,33.5625,-7.625,2026-09-15,28.3,21.8,0.0,0,11.6,32.8,45
Casablanca,33.5625,-7.625,2026-09-16,25.6,20.9,0.0,0,14.6,38.2,2
Casablanca,33.5625,-7.625,2026-09-17,25.6,19.7,0.0,0,12.5,34.2,3
Casablanca,33.5625,-7.625,2026-09-18,25.4,18.2,0.0,0,14.8,38.5,2
Casablanca,33.5625,-7.625,2026-09-19,28.6,19.8,0.0,0,13.1,34.9,45
Casablanca,33.5625,-7.625,2026-09-20,31.7,21.1,0.0,0,13.3,35.3,45
Tangier,35.75,-5.8125,2026-09-14,29.7,22.5,0.0,0,25.4,60.1,1
Tangier,35.75,-5.8125,2026-09-15,30.4,21.1,0.0,0,16.9,38.5,1
Tangier,35.75,-5.8125,2026-09-16,26.9,18.2,0.0,0,21.3,48.6,3
Tangier,35.75,-5.8125,2026-09-17,26.2,18.8,0.0,0,15.0,34.9,3
Tangier,35.75,-5.8125,2026-09-18,28.2,18.7,0.0,0,21.4,49.3,3
Tangier,35.75,-5.8125,2026-09-19,27.3,21.7,0.0,0,34.2,64.8,3
Tangier,35.75,-5.8125,2026-09-20,26.9,22.9,0.0,3,35.1,65.5,3
Fès,34.0625,-5.0,2026-09-14,38.3,23.5,0.0,0,11.0,29.5,2
Fès,34.0625,-5.0,2026-09-15,35.1,23.7,0.0,0,15.5,38.9,3
Fès,34.0625,-5.0,2026-09-16,31.3,20.5,0.0,0,16.8,40.3,1
Fès,34.0625,-5.0,2026-09-17,27.7,18.7,0.0,8,12.2,33.5,3
Fès,34.0625,-5.0,2026-09-18,32.0,18.0,0.0,13,9.7,27.0,3
Fès,34.0625,-5.0,2026-09-19,37.4,21.2,0.0,5,9.8,26.7,3
Fès,34.0625,-5.0,2026-09-20,38.9,23.5,0.0,5,17.2,41.0,2
Marrakech,31.625,-8.0,2026-09-14,40.0,23.2,0.0,8,12.1,40.0,3
